diagnosticRelatedGroup,effectiveDate,weight,geometricMeanLengthOfStay,lowVolumeDrg,arithmeticMeanLengthOfStay,postAcuteCare,specialPaymentPostAcuteCare,description
064,20201001,1.9130,4.4,,6.1,Y,,INTRACRANIAL HEMORRHAGE OR
065,20201001,1.0182,2.9,,3.6,Y,,INTRACRANIAL HEMORRHAGE OR
066,20201001,0.7109,2.0,,2.4,Y,,INTRACRANIAL HEMORRHAGE OR
067,20201001,1.4246,3.3,,4.4,,,NONSPECIFIC CVA AND PRECER
068,20201001,0.8886,2.1,,2.6,,,NONSPECIFIC CVA AND PRECER
069,20201001,0.7861,2.0,,2.5,,,TRANSIENT ISCHEMIA WITHOUT
070,20201001,1.6764,4.5,,6.2,Y,,NONSPECIFIC CEREBROVASCULA
071,20201001,1.0108,3.3,,4.3,Y,,NONSPECIFIC CEREBROVASCULA
072,20201001,0.7712,2.3,,2.9,Y,,NONSPECIFIC CEREBROVASCULA
073,20201001,1.4494,3.7,,5.1,,,CRANIAL AND PERIPHERAL NER
074,20201001,1.0184,2.9,,3.7,,,CRANIAL AND PERIPHERAL NER
075,20201001,1.6260,4.7,,6.1,,,VIRAL MENINGITIS WITH CC/M
076,20201001,0.9809,3.0,,3.6,,,VIRAL MENINGITIS WITHOUT C
077,20201001,1.5319,4.0,,5.2,,,HYPERTENSIVE ENCEPHALOPATH
078,20201001,0.9490,2.8,,3.5,,,HYPERTENSIVE ENCEPHALOPATH
079,20201001,0.7268,2.0,,2.4,,,HYPERTENSIVE ENCEPHALOPATH
080,20201001,2.0920,5.1,,7.5,,,NONTRAUMATIC STUPOR AND CO
081,20201001,0.7720,2.5,,3.3,,,NONTRAUMATIC STUPOR AND CO
082,20201001,2.2581,4.2,,6.4,,,TRAUMATIC STUPOR AND COMA
083,20201001,1.3417,3.3,,4.3,,,TRAUMATIC STUPOR AND COMA
084,20201001,0.9042,2.1,,2.6,,,TRAUMATIC STUPOR AND COMA
085,20201001,2.3064,4.6,,6.5,Y,,TRAUMATIC STUPOR AND COMA
086,20201001,1.2729,3.0,,3.9,Y,,TRAUMATIC STUPOR AND COMA
087,20201001,0.8626,2.0,,2.4,Y,,TRAUMATIC STUPOR AND COMA
088,20201001,1.4593,3.6,,4.7,,,CONCUSSION WITH MCC
089,20201001,1.0612,2.7,,3.3,,,CONCUSSION WITH CC
090,20201001,0.8548,1.9,,2.3,,,CONCUSSION WITHOUT CC/MCC
091,20201001,1.6489,4.2,,5.8,Y,,OTHER DISORDERS OF NERVOUS
092,20201001,0.9861,3.0,,3.9,Y,,OTHER DISORDERS OF NERVOUS
093,20201001,0.7813,2.2,,2.8,Y,,OTHER DISORDERS OF NERVOUS
094,20201001,3.6331,8.0,,10.7,,,BACTERIAL AND TUBERCULOUS
095,20201001,2.5080,5.8,,7.2,,,BACTERIAL AND TUBERCULOUS
096,20201001,2.3315,4.2,,5.0,,,BACTERIAL AND TUBERCULOUS
097,20201001,3.7526,8.7,,11.9,,,NON-BACTERIAL INFECTION OF
098,20201001,2.1109,5.6,,7.3,,,NON-BACTERIAL INFECTION OF
099,20201001,1.3973,3.9,,4.7,,,NON-BACTERIAL INFECTION OF
100,20201001,1.8736,4.3,,6.0,Y,,SEIZURES WITH MCC
101,20201001,0.8870,2.6,,3.4,Y,,SEIZURES WITHOUT MCC
102,20201001,1.1517,3.0,,4.1,,,HEADACHES WITH MCC
103,20201001,0.8282,2.3,,3.0,,,HEADACHES WITHOUT MCC
113,20201001,2.1918,4.5,,6.3,,,ORBITAL PROCEDURES WITH CC
114,20201001,1.4455,2.3,,2.8,,,ORBITAL PROCEDURES WITHOUT
115,20201001,1.4533,3.5,,4.5,,,EXTRAOCULAR PROCEDURES EXC
116,20201001,1.8772,4.1,,6.1,,,INTRAOCULAR PROCEDURES WIT
117,20201001,1.0389,2.1,,2.8,,,INTRAOCULAR PROCEDURES WIT
121,20201001,1.1887,4.2,,5.5,,,ACUTE MAJOR EYE INFECTIONS
122,20201001,0.6438,3.0,,3.8,,,ACUTE MAJOR EYE INFECTIONS
123,20201001,0.7653,2.0,,2.5,,,NEUROLOGICAL EYE DISORDERS
124,20201001,1.3988,3.7,,5.1,,,OTHER DISORDERS OF THE EYE
125,20201001,0.8354,2.5,,3.3,,,OTHER DISORDERS OF THE EYE
135,20201001,2.1406,4.0,,5.7,,,SINUS AND MASTOID PROCEDUR
136,20201001,1.2555,1.6,,2.2,,,SINUS AND MASTOID PROCEDUR
137,20201001,1.4686,3.8,,5.0,,,MOUTH PROCEDURES WITH CC/M
138,20201001,0.8431,2.0,,2.4,,,MOUTH PROCEDURES WITHOUT C
139,20201001,1.2268,2.3,,3.2,,,SALIVARY GLAND PROCEDURES
140,20201001,3.9806,7.0,,9.2,,,MAJOR HEAD AND NECK PROCED
141,20201001,2.2075,3.3,,4.4,,,MAJOR HEAD AND NECK PROCED
142,20201001,1.6088,2.1,,2.7,,,MAJOR HEAD AND NECK PROCED
143,20201001,2.9638,5.8,,8.0,,,"OTHER EAR, NOSE, MOUTH AND"
144,20201001,1.7505,3.1,,4.2,,,"OTHER EAR, NOSE, MOUTH AND"
145,20201001,1.2135,1.9,,2.4,,,"OTHER EAR, NOSE, MOUTH AND"
146,20201001,2.0331,5.0,,7.4,,,"EAR, NOSE, MOUTH AND THROA"
147,20201001,1.3011,3.4,,4.9,,,"EAR, NOSE, MOUTH AND THROA"
148,20201001,0.7863,2.1,,3.0,,,"EAR, NOSE, MOUTH AND THROA"
149,20201001,0.7355,2.0,,2.4,,,DYSEQUILIBRIUM
150,20201001,1.3247,3.4,,4.6,,,EPISTAXIS WITH MCC
151,20201001,0.7370,2.1,,2.6,,,EPISTAXIS WITHOUT MCC
152,20201001,1.0769,3.1,,4.0,,,OTITIS MEDIA AND URI WITH
153,20201001,0.7106,2.3,,2.8,,,OTITIS MEDIA AND URI WITHO
154,20201001,1.5425,3.9,,5.3,,,"OTHER EAR, NOSE, MOUTH AND"
155,20201001,0.9068,2.8,,3.5,,,"OTHER EAR, NOSE, MOUTH AND"
156,20201001,0.6576,2.1,,2.5,,,"OTHER EAR, NOSE, MOUTH AND"
157,20201001,1.5724,4.3,,5.8,,,DENTAL AND ORAL DISEASES W
158,20201001,0.8891,2.7,,3.4,,,DENTAL AND ORAL DISEASES W
159,20201001,0.6558,2.0,,2.4,,,DENTAL AND ORAL DISEASES W
163,20201001,4.9611,9.1,,11.7,Y,,MAJOR CHEST PROCEDURES WIT
164,20201001,2.6392,4.4,,5.4,Y,,MAJOR CHEST PROCEDURES WIT
165,20201001,1.9136,2.6,,3.1,Y,,MAJOR CHEST PROCEDURES WIT
166,20201001,3.7913,8.0,,10.6,Y,,OTHER RESPIRATORY SYSTEM O
167,20201001,1.8619,3.7,,5.0,Y,,OTHER RESPIRATORY SYSTEM O
168,20201001,1.3691,2.1,,2.6,Y,,OTHER RESPIRATORY SYSTEM O
175,20201001,1.5442,4.1,,5.1,Y,,PULMONARY EMBOLISM WITH MC
176,20201001,0.8867,2.6,,3.2,Y,,PULMONARY EMBOLISM WITHOUT
177,20201001,1.8453,5.4,,6.8,Y,,RESPIRATORY INFECTIONS AND
178,20201001,1.2059,4.0,,5.0,Y,,RESPIRATORY INFECTIONS AND
179,20201001,0.8711,3.0,,3.7,Y,,RESPIRATORY INFECTIONS AND
180,20201001,1.7378,4.9,,6.4,,,RESPIRATORY NEOPLASMS WITH
181,20201001,1.1209,3.3,,4.2,,,RESPIRATORY NEOPLASMS WITH
182,20201001,0.7875,2.2,,2.7,,,RESPIRATORY NEOPLASMS WITH
183,20201001,1.5556,4.3,,5.5,,,MAJOR CHEST TRAUMA WITH MC
184,20201001,1.0394,3.1,,3.7,,,MAJOR CHEST TRAUMA WITH CC
185,20201001,0.7736,2.4,,2.8,,,MAJOR CHEST TRAUMA WITHOUT
186,20201001,1.5432,4.3,,5.6,Y,,PLEURAL EFFUSION WITH MCC
187,20201001,1.0322,3.2,,4.0,Y,,PLEURAL EFFUSION WITH CC
188,20201001,0.7281,2.4,,3.0,Y,,PLEURAL EFFUSION WITHOUT C
189,20201001,1.2248,3.6,,4.6,,,PULMONARY EDEMA AND RESPIR
190,20201001,1.1239,3.6,,4.4,Y,,CHRONIC OBSTRUCTIVE PULMON
191,20201001,0.8831,2.9,,3.5,Y,,CHRONIC OBSTRUCTIVE PULMON
192,20201001,0.6949,2.4,,2.8,Y,,CHRONIC OBSTRUCTIVE PULMON
193,20201001,1.3107,4.1,,5.1,Y,,SIMPLE PNEUMONIA AND PLEUR
194,20201001,0.8630,3.1,,3.7,Y,,SIMPLE PNEUMONIA AND PLEUR
195,20201001,0.6650,2.5,,2.9,Y,,SIMPLE PNEUMONIA AND PLEUR
196,20201001,1.7361,4.8,,6.4,Y,,INTERSTITIAL LUNG DISEASE
197,20201001,1.0056,3.2,,4.0,Y,,INTERSTITIAL LUNG DISEASE
198,20201001,0.7423,2.4,,2.9,Y,,INTERSTITIAL LUNG DISEASE
199,20201001,1.7876,5.1,,6.6,,,PNEUMOTHORAX WITH MCC
200,20201001,1.0750,3.2,,4.0,,,PNEUMOTHORAX WITH CC
201,20201001,0.7095,2.3,,2.9,,,PNEUMOTHORAX WITHOUT CC/MC
202,20201001,0.9656,3.0,,3.7,,,BRONCHITIS AND ASTHMA WITH
203,20201001,0.7055,2.3,,2.8,,,BRONCHITIS AND ASTHMA WITH
204,20201001,0.7925,2.1,,2.7,,,RESPIRATORY SIGNS AND SYMP
205,20201001,1.6823,4.1,,5.7,Y,,OTHER RESPIRATORY SYSTEM D
206,20201001,0.8842,2.5,,3.1,Y,,OTHER RESPIRATORY SYSTEM D
207,20201001,5.7264,11.9,,14.0,Y,,RESPIRATORY SYSTEM DIAGNOS
208,20201001,2.5423,4.9,,6.8,,,RESPIRATORY SYSTEM DIAGNOS
215,20201001,11.1579,4.7,,7.8,,,OTHER HEART ASSIST SYSTEM
216,20201001,10.4301,14.2,,16.7,Y,Y,CARDIAC VALVE AND OTHER MA
217,20201001,6.4928,8.5,,9.5,Y,Y,CARDIAC VALVE AND OTHER MA
218,20201001,5.1432,5.8,,6.6,Y,Y,CARDIAC VALVE AND OTHER MA
219,20201001,8.0551,8.9,,10.9,Y,Y,CARDIAC VALVE AND OTHER MA
220,20201001,5.3999,5.9,,6.5,Y,Y,CARDIAC VALVE AND OTHER MA
221,20201001,4.5523,3.9,,4.5,Y,Y,CARDIAC VALVE AND OTHER MA
222,20201001,8.4211,9.4,,11.4,,,CARDIAC DEFIBRILLATOR IMPL
223,20201001,6.2121,5.3,,6.5,,,CARDIAC DEFIBRILLATOR IMPL
224,20201001,7.3622,7.5,,9.2,,,CARDIAC DEFIBRILLATOR IMPL
225,20201001,5.6268,4.2,,4.9,,,CARDIAC DEFIBRILLATOR IMPL
226,20201001,6.6118,6.3,,8.1,,,CARDIAC DEFIBRILLATOR IMPL
227,20201001,5.2519,3.2,,4.1,,,CARDIAC DEFIBRILLATOR IMPL
228,20201001,6.2153,8.3,,10.7,,,OTHER CARDIOTHORACIC PROCE
229,20201001,3.9880,4.1,,5.3,,,OTHER CARDIOTHORACIC PROCE
231,20201001,8.4902,10.7,,12.3,,,CORONARY BYPASS WITH PTCA
232,20201001,5.8983,7.7,,8.5,,,CORONARY BYPASS WITH PTCA
233,20201001,7.7927,11.4,,12.7,Y,,CORONARY BYPASS WITH CARDI
234,20201001,5.3174,8.1,,8.7,Y,,CORONARY BYPASS WITH CARDI
235,20201001,6.0302,8.6,,9.8,Y,,CORONARY BYPASS WITHOUT CA
236,20201001,4.0808,6.0,,6.4,Y,,CORONARY BYPASS WITHOUT CA
239,20201001,4.8087,10.4,,13.2,Y,,AMPUTATION FOR CIRCULATORY
240,20201001,2.7899,7.0,,8.6,Y,,AMPUTATION FOR CIRCULATORY
241,20201001,1.5914,4.4,,5.2,Y,,AMPUTATION FOR CIRCULATORY
242,20201001,3.7225,5.2,,6.7,Y,,PERMANENT CARDIAC PACEMAKE
243,20201001,2.5326,3.1,,3.8,Y,,PERMANENT CARDIAC PACEMAKE
244,20201001,2.0657,2.2,,2.6,Y,,PERMANENT CARDIAC PACEMAKE
245,20201001,5.4140,4.7,,6.5,,,AICD GENERATOR PROCEDURES
246,20201001,3.1257,3.9,,5.2,,,PERCUTANEOUS CARDIOVASCULA
247,20201001,1.9882,2.1,,2.5,,,PERCUTANEOUS CARDIOVASCULA
248,20201001,3.1739,4.6,,6.1,,,PERCUTANEOUS CARDIOVASCULA
249,20201001,1.8793,2.2,,2.7,,,PERCUTANEOUS CARDIOVASCULA
250,20201001,2.5228,3.7,,5.0,,,PERCUTANEOUS CARDIOVASCULA
251,20201001,1.6598,2.1,,2.6,,,PERCUTANEOUS CARDIOVASCULA
252,20201001,3.3207,5.2,,7.5,,,OTHER VASCULAR PROCEDURES
253,20201001,2.6537,4.1,,5.4,,,OTHER VASCULAR PROCEDURES
254,20201001,1.8095,2.1,,2.6,,,OTHER VASCULAR PROCEDURES
255,20201001,2.5430,6.5,,8.2,Y,,UPPER LIMB AND TOE AMPUTAT
256,20201001,1.6431,5.0,,5.9,Y,,UPPER LIMB AND TOE AMPUTAT
257,20201001,1.1610,3.5,,4.4,Y,,UPPER LIMB AND TOE AMPUTAT
258,20201001,3.2013,5.0,,6.7,,,CARDIAC PACEMAKER DEVICE R
259,20201001,2.1202,2.7,,3.4,,,CARDIAC PACEMAKER DEVICE R
260,20201001,3.5842,6.4,,8.8,,,CARDIAC PACEMAKER REVISION
261,20201001,1.9913,3.2,,4.0,,,CARDIAC PACEMAKER REVISION
262,20201001,1.7081,2.2,,2.7,,,CARDIAC PACEMAKER REVISION
263,20201001,2.3053,4.4,,6.5,,,VEIN LIGATION AND STRIPPIN
264,20201001,3.2478,6.5,,9.2,Y,,OTHER CIRCULATORY SYSTEM O
265,20201001,3.3627,3.7,,5.2,,,AICD LEAD PROCEDURES
266,20201001,7.0972,3.2,,5.3,Y,Y,ENDOVASCULAR CARDIAC VALVE
267,20201001,5.6009,1.7,,2.1,Y,Y,ENDOVASCULAR CARDIAC VALVE
268,20201001,6.9546,6.3,,9.3,,,AORTIC AND HEART ASSIST PR
269,20201001,4.3146,1.6,,2.2,,,AORTIC AND HEART ASSIST PR
270,20201001,5.1816,6.6,,9.5,,,OTHER MAJOR CARDIOVASCULAR
271,20201001,3.5646,4.3,,5.7,,,OTHER MAJOR CARDIOVASCULAR
272,20201001,2.6888,2.0,,2.6,,,OTHER MAJOR CARDIOVASCULAR
273,20201001,3.8372,4.3,,6.1,,,PERCUTANEOUS AND OTHER INT
274,20201001,3.2854,1.6,,2.0,,,PERCUTANEOUS AND OTHER INT
280,20201001,1.6262,4.1,,5.4,Y,,ACUTE MYOCARDIAL INFARCTIO
281,20201001,0.9321,2.5,,3.1,Y,,ACUTE MYOCARDIAL INFARCTIO
282,20201001,0.7255,1.8,,2.1,Y,,ACUTE MYOCARDIAL INFARCTIO
283,20201001,1.8646,2.9,,4.8,,,ACUTE MYOCARDIAL INFARCTIO
284,20201001,0.7342,1.6,,2.1,,,ACUTE MYOCARDIAL INFARCTIO
285,20201001,0.4964,1.2,,1.4,,,ACUTE MYOCARDIAL INFARCTIO
286,20201001,2.2141,5.3,,7.0,,,CIRCULATORY DISORDERS EXCE
287,20201001,1.1500,2.3,,2.9,,,CIRCULATORY DISORDERS EXCE
288,20201001,2.6810,7.1,,9.3,Y,,ACUTE AND SUBACUTE ENDOCAR
289,20201001,1.6426,5.3,,6.7,Y,,ACUTE AND SUBACUTE ENDOCAR
290,20201001,1.0236,3.6,,4.5,Y,,ACUTE AND SUBACUTE ENDOCAR
291,20201001,1.3409,4.0,,5.1,Y,,HEART FAILURE AND SHOCK WI
292,20201001,0.8951,3.1,,3.8,Y,,HEART FAILURE AND SHOCK WI
293,20201001,0.6526,2.3,,2.8,Y,,HEART FAILURE AND SHOCK WI
294,20201001,1.2821,3.3,,4.4,,,DEEP VEIN THROMBOPHLEBITIS
295,20201001,0.9813,2.6,,3.3,,,DEEP VEIN THROMBOPHLEBITIS
296,20201001,1.5948,2.0,,3.2,,,"CARDIAC ARREST, UNEXPLAINE"
297,20201001,0.7046,1.3,,1.7,,,"CARDIAC ARREST, UNEXPLAINE"
298,20201001,0.4882,1.1,,1.1,,,"CARDIAC ARREST, UNEXPLAINE"
299,20201001,1.5314,3.9,,5.2,Y,,PERIPHERAL VASCULAR DISORD
300,20201001,1.0422,3.1,,4.0,Y,,PERIPHERAL VASCULAR DISORD
301,20201001,0.7425,2.2,,2.7,Y,,PERIPHERAL VASCULAR DISORD
302,20201001,1.0935,2.7,,3.7,,,ATHEROSCLEROSIS WITH MCC
303,20201001,0.6764,1.9,,2.3,,,ATHEROSCLEROSIS WITHOUT MC
304,20201001,1.0956,2.9,,3.8,,,HYPERTENSION WITH MCC
305,20201001,0.7385,2.2,,2.7,,,HYPERTENSION WITHOUT MCC
306,20201001,1.5037,3.7,,5.1,,,CARDIAC CONGENITAL AND VAL
307,20201001,0.8684,2.4,,3.0,,,CARDIAC CONGENITAL AND VAL
308,20201001,1.1993,3.5,,4.5,,,CARDIAC ARRHYTHMIA AND CON
309,20201001,0.7494,2.4,,2.9,,,CARDIAC ARRHYTHMIA AND CON
310,20201001,0.5584,1.9,,2.2,,,CARDIAC ARRHYTHMIA AND CON
311,20201001,0.6970,1.9,,2.4,,,ANGINA PECTORIS
312,20201001,0.8372,2.3,,2.9,,,SYNCOPE AND COLLAPSE
313,20201001,0.7208,1.7,,2.1,,,CHEST PAIN
314,20201001,2.0834,4.8,,6.6,Y,,OTHER CIRCULATORY SYSTEM D
315,20201001,0.9752,2.8,,3.6,Y,,OTHER CIRCULATORY SYSTEM D
316,20201001,0.7495,1.9,,2.3,Y,,OTHER CIRCULATORY SYSTEM D
319,20201001,4.3158,7.7,,10.0,,,OTHER ENDOVASCULAR CARDIAC
320,20201001,2.4437,2.5,,3.6,,,OTHER ENDOVASCULAR CARDIAC
326,20201001,5.3777,9.7,,13.2,Y,,"STOMACH, ESOPHAGEAL AND DU"
327,20201001,2.6096,4.7,,6.4,Y,,"STOMACH, ESOPHAGEAL AND DU"
328,20201001,1.6655,2.3,,2.9,Y,,"STOMACH, ESOPHAGEAL AND DU"
329,20201001,4.8503,10.2,,12.9,Y,,MAJOR SMALL AND LARGE BOWE
330,20201001,2.5390,5.6,,6.9,Y,,MAJOR SMALL AND LARGE BOWE
331,20201001,1.7101,3.3,,3.8,Y,,MAJOR SMALL AND LARGE BOWE
332,20201001,4.1597,7.9,,10.2,Y,,RECTAL RESECTION WITH MCC
333,20201001,2.1410,4.1,,5.1,Y,,RECTAL RESECTION WITH CC
334,20201001,1.6092,2.5,,3.0,Y,,RECTAL RESECTION WITHOUT C
335,20201001,3.8904,9.3,,11.4,Y,,PERITONEAL ADHESIOLYSIS WI
336,20201001,2.2829,5.9,,7.2,Y,,PERITONEAL ADHESIOLYSIS WI
337,20201001,1.6326,3.7,,4.6,Y,,PERITONEAL ADHESIOLYSIS WI
338,20201001,2.7988,6.4,,8.1,,,APPENDECTOMY WITH COMPLICA
339,20201001,1.6950,4.0,,5.0,,,APPENDECTOMY WITH COMPLICA
340,20201001,1.2284,2.4,,2.9,,,APPENDECTOMY WITH COMPLICA
341,20201001,2.3162,4.3,,5.8,,,APPENDECTOMY WITHOUT COMPL
342,20201001,1.4331,2.7,,3.4,,,APPENDECTOMY WITHOUT COMPL
343,20201001,1.1094,1.7,,2.0,,,APPENDECTOMY WITHOUT COMPL
344,20201001,2.8009,7.0,,9.2,,,MINOR SMALL AND LARGE BOWE
345,20201001,1.5777,4.3,,5.4,,,MINOR SMALL AND LARGE BOWE
346,20201001,1.2750,3.1,,3.6,,,MINOR SMALL AND LARGE BOWE
347,20201001,2.4616,5.6,,7.5,,,ANAL AND STOMAL PROCEDURES
348,20201001,1.3424,3.3,,4.1,,,ANAL AND STOMAL PROCEDURES
349,20201001,0.9793,1.9,,2.3,,,ANAL AND STOMAL PROCEDURES
350,20201001,2.4524,5.2,,6.9,,,INGUINAL AND FEMORAL HERNI
351,20201001,1.4904,3.2,,3.9,,,INGUINAL AND FEMORAL HERNI
352,20201001,1.1030,2.0,,2.4,,,INGUINAL AND FEMORAL HERNI
353,20201001,3.0083,5.9,,7.7,,,HERNIA PROCEDURES EXCEPT I
354,20201001,1.7830,3.6,,4.5,,,HERNIA PROCEDURES EXCEPT I
355,20201001,1.3592,2.4,,2.8,,,HERNIA PROCEDURES EXCEPT I
356,20201001,4.2914,7.6,,10.4,Y,,OTHER DIGESTIVE SYSTEM O.R
357,20201001,2.2537,4.6,,5.9,Y,,OTHER DIGESTIVE SYSTEM O.R
358,20201001,1.3390,2.8,,3.5,Y,,OTHER DIGESTIVE SYSTEM O.R
368,20201001,1.9423,4.6,,5.9,,,MAJOR ESOPHAGEAL DISORDERS
369,20201001,1.0768,3.1,,3.7,,,MAJOR ESOPHAGEAL DISORDERS
370,20201001,0.7476,2.1,,2.5,,,MAJOR ESOPHAGEAL DISORDERS
371,20201001,1.7283,5.2,,6.8,Y,,MAJOR GASTROINTESTINAL DIS
372,20201001,1.0276,3.8,,4.7,Y,,MAJOR GASTROINTESTINAL DIS
373,20201001,0.7435,2.9,,3.5,Y,,MAJOR GASTROINTESTINAL DIS
374,20201001,2.0679,5.5,,7.4,Y,,DIGESTIVE MALIGNANCY WITH
375,20201001,1.2049,3.6,,4.6,Y,,DIGESTIVE MALIGNANCY WITH
376,20201001,0.8952,2.5,,3.1,Y,,DIGESTIVE MALIGNANCY WITHO
377,20201001,1.7989,4.4,,5.7,Y,,GASTROINTESTINAL HEMORRHAG
378,20201001,0.9932,3.0,,3.5,Y,,GASTROINTESTINAL HEMORRHAG
379,20201001,0.6371,2.1,,2.4,Y,,GASTROINTESTINAL HEMORRHAG
380,20201001,1.8831,4.9,,6.3,Y,,COMPLICATED PEPTIC ULCER W
381,20201001,1.0597,3.2,,3.9,Y,,COMPLICATED PEPTIC ULCER W
382,20201001,0.7683,2.4,,2.9,Y,,COMPLICATED PEPTIC ULCER W
383,20201001,1.3109,3.8,,4.8,,,UNCOMPLICATED PEPTIC ULCER
384,20201001,0.8924,2.5,,3.1,,,UNCOMPLICATED PEPTIC ULCER
385,20201001,1.6191,5.0,,6.6,,,INFLAMMATORY BOWEL DISEASE
386,20201001,0.9935,3.5,,4.3,,,INFLAMMATORY BOWEL DISEASE
387,20201001,0.7135,2.6,,3.2,,,INFLAMMATORY BOWEL DISEASE
388,20201001,1.5118,4.7,,6.1,Y,,GASTROINTESTINAL OBSTRUCTI
389,20201001,0.8218,3.2,,3.9,Y,,GASTROINTESTINAL OBSTRUCTI
390,20201001,0.5826,2.4,,2.8,Y,,GASTROINTESTINAL OBSTRUCTI
391,20201001,1.2444,3.7,,4.9,,,"ESOPHAGITIS, GASTROENTERIT"
392,20201001,0.7644,2.6,,3.2,,,"ESOPHAGITIS, GASTROENTERIT"
393,20201001,1.6536,4.3,,6.0,,,OTHER DIGESTIVE SYSTEM DIA
394,20201001,0.9386,3.0,,3.8,,,OTHER DIGESTIVE SYSTEM DIA
