diagnosticRelatedGroup,effectiveDate,weight,geometricMeanLengthOfStay,lowVolumeDrg,arithmeticMeanLengthOfStay,postAcuteCare,specialPaymentPostAcuteCare,description
069,2023-10-01,0.7987,2.1,,2.6,,,TRANSIENT ISCHEMIA WITHOUT
070,2023-10-01,1.7895,4.9,,7.1,Y,,NONSPECIFIC CEREBROVASCULA
071,2023-10-01,1.0618,3.4,,4.7,Y,,NONSPECIFIC CEREBROVASCULA
072,2023-10-01,0.7830,2.4,,3.1,Y,,NONSPECIFIC CEREBROVASCULA
073,2023-10-01,1.5130,3.9,,5.8,,,CRANIAL AND PERIPHERAL NER
074,2023-10-01,1.0262,2.9,,3.8,,,CRANIAL AND PERIPHERAL NER
075,2023-10-01,1.9138,6.0,,7.7,,,VIRAL MENINGITIS WITH CC/M
076,2023-10-01,0.9225,3.2,,3.9,,,VIRAL MENINGITIS WITHOUT C
077,2023-10-01,1.5109,4.1,,5.6,,,HYPERTENSIVE ENCEPHALOPATH
078,2023-10-01,1.0169,2.9,,3.8,,,HYPERTENSIVE ENCEPHALOPATH
079,2023-10-01,0.7408,2.2,,2.6,,,HYPERTENSIVE ENCEPHALOPATH
080,2023-10-01,2.2087,5.4,,8.5,,,NONTRAUMATIC STUPOR AND CO
081,2023-10-01,0.9095,2.7,,3.7,,,NONTRAUMATIC STUPOR AND CO
082,2023-10-01,2.2783,4.5,,7.1,,,TRAUMATIC STUPOR AND COMA
083,2023-10-01,1.3564,3.3,,4.4,,,TRAUMATIC STUPOR AND COMA
084,2023-10-01,0.9197,2.1,,2.6,,,TRAUMATIC STUPOR AND COMA
085,2023-10-01,2.2728,4.7,,6.7,Y,,TRAUMATIC STUPOR AND COMA
086,2023-10-01,1.3171,3.0,,3.9,Y,,TRAUMATIC STUPOR AND COMA
087,2023-10-01,0.8862,2.0,,2.4,Y,,TRAUMATIC STUPOR AND COMA
088,2023-10-01,1.5338,3.9,,5.4,,,CONCUSSION WITH MCC
089,2023-10-01,1.1499,2.5,,3.4,,,CONCUSSION WITH CC
090,2023-10-01,0.9348,1.9,,2.4,,,CONCUSSION WITHOUT CC/MCC
091,2023-10-01,1.7892,4.5,,6.8,Y,,OTHER DISORDERS OF NERVOUS
092,2023-10-01,1.0261,3.1,,4.2,Y,,OTHER DISORDERS OF NERVOUS
093,2023-10-01,0.7744,2.2,,2.8,Y,,OTHER DISORDERS OF NERVOUS
094,2023-10-01,3.6227,8.6,,11.5,,,BACTERIAL AND TUBERCULOUS
095,2023-10-01,2.3842,5.9,,7.3,,,BACTERIAL AND TUBERCULOUS
096,2023-10-01,2.1797,4.5,,5.3,,,BACTERIAL AND TUBERCULOUS
097,2023-10-01,3.6369,9.1,,12.5,,,NON-BACTERIAL INFECTION OF
098,2023-10-01,2.1545,6.1,,8.2,,,NON-BACTERIAL INFECTION OF
099,2023-10-01,1.3202,3.9,,4.8,,,NON-BACTERIAL INFECTION OF
100,2023-10-01,1.9825,4.5,,6.7,Y,,SEIZURES WITH MCC
101,2023-10-01,0.9096,2.7,,3.5,Y,,SEIZURES WITHOUT MCC
102,2023-10-01,1.2066,3.1,,4.5,,,HEADACHES WITH MCC
103,2023-10-01,0.8424,2.3,,3.1,,,HEADACHES WITHOUT MCC
113,2023-10-01,2.5073,4.9,,7.9,,,ORBITAL PROCEDURES WITH CC
114,2023-10-01,1.2318,2.1,,2.5,,,ORBITAL PROCEDURES WITHOUT
115,2023-10-01,1.5644,3.6,,4.9,,,EXTRAOCULAR PROCEDURES EXC
116,2023-10-01,1.8308,4.2,,6.2,,,INTRAOCULAR PROCEDURES WIT
117,2023-10-01,1.1984,2.0,,2.6,,,INTRAOCULAR PROCEDURES WIT
121,2023-10-01,1.2812,4.4,,6.2,,,ACUTE MAJOR EYE INFECTIONS
122,2023-10-01,0.7445,3.0,,3.7,,,ACUTE MAJOR EYE INFECTIONS
123,2023-10-01,0.8040,2.1,,2.7,,,NEUROLOGICAL EYE DISORDERS
124,2023-10-01,1.3219,3.4,,5.0,,,OTHER DISORDERS OF THE EYE
125,2023-10-01,0.7975,2.3,,3.0,,,OTHER DISORDERS OF THE EYE
135,2023-10-01,2.6521,4.2,,6.7,,,SINUS AND MASTOID PROCEDUR
136,2023-10-01,1.0443,1.3,,1.5,,,SINUS AND MASTOID PROCEDUR
137,2023-10-01,1.5047,3.7,,5.2,,,MOUTH PROCEDURES WITH CC/M
138,2023-10-01,0.8657,1.6,,2.0,,,MOUTH PROCEDURES WITHOUT C
139,2023-10-01,1.1877,2.2,,3.3,,,SALIVARY GLAND PROCEDURES
140,2023-10-01,3.7781,7.0,,9.6,,,MAJOR HEAD AND NECK PROCED
141,2023-10-01,2.0717,3.1,,4.3,,,MAJOR HEAD AND NECK PROCED
142,2023-10-01,1.5450,2.0,,2.5,,,MAJOR HEAD AND NECK PROCED
143,2023-10-01,3.3256,6.3,,9.1,,,"OTHER EAR, NOSE, MOUTH AND"
144,2023-10-01,1.7305,3.0,,4.1,,,"OTHER EAR, NOSE, MOUTH AND"
145,2023-10-01,1.2211,1.7,,2.1,,,"OTHER EAR, NOSE, MOUTH AND"
146,2023-10-01,2.1110,5.5,,8.4,,,"EAR, NOSE, MOUTH AND THROA"
147,2023-10-01,1.2358,3.6,,5.1,,,"EAR, NOSE, MOUTH AND THROA"
148,2023-10-01,0.8897,2.2,,2.8,,,"EAR, NOSE, MOUTH AND THROA"
149,2023-10-01,0.7447,1.9,,2.4,,,DYSEQUILIBRIUM
150,2023-10-01,1.3145,3.4,,4.5,,,EPISTAXIS WITH MCC
151,2023-10-01,0.7707,2.2,,2.7,,,EPISTAXIS WITHOUT MCC
152,2023-10-01,1.1882,3.2,,4.4,,,OTITIS MEDIA AND URI WITH
153,2023-10-01,0.7348,2.3,,2.9,,,OTITIS MEDIA AND URI WITHO
154,2023-10-01,1.5382,4.2,,5.8,,,"OTHER EAR, NOSE, MOUTH AND"
155,2023-10-01,0.9466,2.9,,3.7,,,"OTHER EAR, NOSE, MOUTH AND"
156,2023-10-01,0.6555,2.1,,2.6,,,"OTHER EAR, NOSE, MOUTH AND"
157,2023-10-01,1.7070,4.7,,6.7,,,DENTAL AND ORAL DISEASES W
158,2023-10-01,0.9385,2.9,,3.6,,,DENTAL AND ORAL DISEASES W
159,2023-10-01,0.6752,2.0,,2.5,,,DENTAL AND ORAL DISEASES W
163,2023-10-01,4.7136,7.5,,10.3,Y,,MAJOR CHEST PROCEDURES WIT
164,2023-10-01,2.5504,3.7,,4.7,Y,,MAJOR CHEST PROCEDURES WIT
165,2023-10-01,1.8764,2.2,,2.7,Y,,MAJOR CHEST PROCEDURES WIT
166,2023-10-01,4.0578,8.4,,11.9,Y,,OTHER RESPIRATORY SYSTEM O
167,2023-10-01,1.8198,3.5,,4.8,Y,,OTHER RESPIRATORY SYSTEM O
168,2023-10-01,1.3557,1.8,,2.3,Y,,OTHER RESPIRATORY SYSTEM O
173,2023-10-01,3.0750,4.0,,4.8,,,ULTRASOUND ACCELERATED AND
175,2023-10-01,1.4030,4.0,,5.2,Y,,PULMONARY EMBOLISM WITH MC
176,2023-10-01,0.8156,2.5,,3.1,Y,,PULMONARY EMBOLISM WITHOUT
177,2023-10-01,1.6964,5.0,,6.8,Y,,RESPIRATORY INFECTIONS AND
178,2023-10-01,0.9867,3.3,,4.3,Y,,RESPIRATORY INFECTIONS AND
179,2023-10-01,0.7633,2.5,,3.3,Y,,RESPIRATORY INFECTIONS AND
180,2023-10-01,1.7382,4.9,,6.6,,,RESPIRATORY NEOPLASMS WITH
181,2023-10-01,1.1011,3.2,,4.2,,,RESPIRATORY NEOPLASMS WITH
182,2023-10-01,0.7988,2.2,,2.8,,,RESPIRATORY NEOPLASMS WITH
183,2023-10-01,1.5745,4.5,,6.0,,,MAJOR CHEST TRAUMA WITH MC
184,2023-10-01,1.0519,3.1,,3.8,,,MAJOR CHEST TRAUMA WITH CC
185,2023-10-01,0.7557,2.2,,2.6,,,MAJOR CHEST TRAUMA WITHOUT
186,2023-10-01,1.5521,4.4,,5.9,Y,,PLEURAL EFFUSION WITH MCC
187,2023-10-01,0.9963,3.1,,3.9,Y,,PLEURAL EFFUSION WITH CC
188,2023-10-01,0.7465,2.3,,2.9,Y,,PLEURAL EFFUSION WITHOUT C
189,2023-10-01,1.2320,3.6,,4.9,,,PULMONARY EDEMA AND RESPIR
190,2023-10-01,1.1020,3.5,,4.4,Y,,CHRONIC OBSTRUCTIVE PULMON
191,2023-10-01,0.8490,2.7,,3.4,Y,,CHRONIC OBSTRUCTIVE PULMON
192,2023-10-01,0.6418,2.2,,2.7,Y,,CHRONIC OBSTRUCTIVE PULMON
193,2023-10-01,1.3266,4.1,,5.2,Y,,SIMPLE PNEUMONIA AND PLEUR
194,2023-10-01,0.8222,2.9,,3.6,Y,,SIMPLE PNEUMONIA AND PLEUR
195,2023-10-01,0.6256,2.4,,2.8,Y,,SIMPLE PNEUMONIA AND PLEUR
196,2023-10-01,1.8954,5.2,,7.0,Y,,INTERSTITIAL LUNG DISEASE
197,2023-10-01,0.9975,3.0,,3.9,Y,,INTERSTITIAL LUNG DISEASE
198,2023-10-01,0.7782,2.3,,2.8,Y,,INTERSTITIAL LUNG DISEASE
199,2023-10-01,1.7741,5.1,,6.7,,,PNEUMOTHORAX WITH MCC
200,2023-10-01,1.0770,3.2,,4.1,,,PNEUMOTHORAX WITH CC
201,2023-10-01,0.7061,2.4,,2.9,,,PNEUMOTHORAX WITHOUT CC/MC
202,2023-10-01,0.9575,2.9,,3.7,,,BRONCHITIS AND ASTHMA WITH
203,2023-10-01,0.6949,2.2,,2.7,,,BRONCHITIS AND ASTHMA WITH
204,2023-10-01,0.8229,2.1,,2.8,,,RESPIRATORY SIGNS AND SYMP
205,2023-10-01,1.8103,4.5,,6.4,Y,,OTHER RESPIRATORY SYSTEM D
206,2023-10-01,0.9135,2.5,,3.2,Y,,OTHER RESPIRATORY SYSTEM D
207,2023-10-01,6.9080,14.8,,17.4,Y,,RESPIRATORY SYSTEM DIAGNOS
208,2023-10-01,2.7038,5.2,,7.7,,,RESPIRATORY SYSTEM DIAGNOS
212,2023-10-01,10.7707,12.6,,15.7,,,CONCOMITANT AORTIC AND MIT
215,2023-10-01,10.2148,5.0,,9.0,,,OTHER HEART ASSIST SYSTEM
216,2023-10-01,9.7053,11.2,,14.5,Y,Y,CARDIAC VALVE AND OTHER MA
217,2023-10-01,6.3653,5.2,,7.1,Y,Y,CARDIAC VALVE AND OTHER MA
218,2023-10-01,5.6967,2.2,,3.1,Y,Y,CARDIAC VALVE AND OTHER MA
219,2023-10-01,7.7112,8.7,,10.7,Y,Y,CARDIAC VALVE AND OTHER MA
220,2023-10-01,5.2446,5.7,,6.3,Y,Y,CARDIAC VALVE AND OTHER MA
221,2023-10-01,4.6486,3.3,,4.0,Y,Y,CARDIAC VALVE AND OTHER MA
228,2023-10-01,5.0387,6.5,,9.1,,,OTHER CARDIOTHORACIC PROCE
229,2023-10-01,3.1796,2.6,,3.4,,,OTHER CARDIOTHORACIC PROCE
231,2023-10-01,8.1152,10.3,,12.0,,,CORONARY BYPASS WITH PTCA
232,2023-10-01,5.9486,7.5,,8.3,,,CORONARY BYPASS WITH PTCA
233,2023-10-01,7.7996,11.4,,12.8,Y,,CORONARY BYPASS WITH CARDI
234,2023-10-01,5.1979,8.1,,8.6,Y,,CORONARY BYPASS WITH CARDI
235,2023-10-01,5.8806,8.2,,9.5,Y,,CORONARY BYPASS WITHOUT CA
236,2023-10-01,4.0412,5.8,,6.3,Y,,CORONARY BYPASS WITHOUT CA
239,2023-10-01,4.8068,11.1,,14.2,Y,,AMPUTATION FOR CIRCULATORY
240,2023-10-01,2.8092,7.1,,8.7,Y,,AMPUTATION FOR CIRCULATORY
241,2023-10-01,1.3940,4.2,,5.1,Y,,AMPUTATION FOR CIRCULATORY
242,2023-10-01,3.4551,5.1,,6.7,Y,,PERMANENT CARDIAC PACEMAKE
243,2023-10-01,2.2776,2.9,,3.6,Y,,PERMANENT CARDIAC PACEMAKE
244,2023-10-01,1.8295,2.1,,2.4,Y,,PERMANENT CARDIAC PACEMAKE
245,2023-10-01,4.5314,4.1,,5.8,,,AICD GENERATOR PROCEDURES
250,2023-10-01,2.3508,3.4,,4.8,,,PERCUTANEOUS CARDIOVASCULA
251,2023-10-01,1.5869,2.0,,2.5,,,PERCUTANEOUS CARDIOVASCULA
252,2023-10-01,3.3538,5.4,,8.0,,,OTHER VASCULAR PROCEDURES
253,2023-10-01,2.5511,3.8,,5.2,,,OTHER VASCULAR PROCEDURES
254,2023-10-01,1.7351,1.9,,2.4,,,OTHER VASCULAR PROCEDURES
255,2023-10-01,2.7474,7.0,,9.1,Y,,UPPER LIMB AND TOE AMPUTAT
256,2023-10-01,1.6397,5.0,,6.0,Y,,UPPER LIMB AND TOE AMPUTAT
257,2023-10-01,0.9910,3.4,,4.0,Y,,UPPER LIMB AND TOE AMPUTAT
258,2023-10-01,2.7086,4.7,,6.3,,,CARDIAC PACEMAKER DEVICE R
259,2023-10-01,1.8666,2.4,,3.0,,,CARDIAC PACEMAKER DEVICE R
260,2023-10-01,3.3152,5.7,,8.4,,,CARDIAC PACEMAKER REVISION
261,2023-10-01,1.8818,2.9,,3.8,,,CARDIAC PACEMAKER REVISION
262,2023-10-01,1.6453,2.3,,2.7,,,CARDIAC PACEMAKER REVISION
263,2023-10-01,2.8252,4.6,,6.8,,,VEIN LIGATION AND STRIPPIN
264,2023-10-01,3.2660,6.9,,9.9,Y,,OTHER CIRCULATORY SYSTEM O
265,2023-10-01,3.5341,4.0,,5.6,,,AICD LEAD PROCEDURES
266,2023-10-01,6.2461,2.7,,4.9,Y,Y,ENDOVASCULAR CARDIAC VALVE
267,2023-10-01,4.8802,1.3,,1.6,Y,Y,ENDOVASCULAR CARDIAC VALVE
268,2023-10-01,6.8547,6.1,,9.5,,,AORTIC AND HEART ASSIST PR
269,2023-10-01,4.1586,1.5,,2.1,,,AORTIC AND HEART ASSIST PR
270,2023-10-01,5.0569,6.5,,9.5,,,OTHER MAJOR CARDIOVASCULAR
271,2023-10-01,3.4562,4.0,,5.4,,,OTHER MAJOR CARDIOVASCULAR
272,2023-10-01,2.4395,1.9,,2.4,,,OTHER MAJOR CARDIOVASCULAR
273,2023-10-01,3.8970,3.6,,5.5,,,PERCUTANEOUS AND OTHER INT
274,2023-10-01,3.2408,1.2,,1.5,,,PERCUTANEOUS AND OTHER INT
275,2023-10-01,7.0358,8.0,,9.9,,,CARDIAC DEFIBRILLATOR IMPL
276,2023-10-01,6.2102,6.3,,8.3,Y,Y,CARDIAC DEFIBRILLATOR IMPL
277,2023-10-01,4.7824,3.3,,4.2,Y,Y,CARDIAC DEFIBRILLATOR IMPL
278,2023-10-01,4.4604,6.3,,8.5,,,ULTRASOUND ACCELERATED AND
279,2023-10-01,3.2006,3.1,,4.3,,,ULTRASOUND ACCELERATED AND
280,2023-10-01,1.5865,4.2,,5.5,Y,,ACUTE MYOCARDIAL INFARCTIO
281,2023-10-01,0.9130,2.4,,3.0,Y,,ACUTE MYOCARDIAL INFARCTIO
282,2023-10-01,0.7181,1.8,,2.1,Y,,ACUTE MYOCARDIAL INFARCTIO
283,2023-10-01,1.9714,3.2,,5.4,,,ACUTE MYOCARDIAL INFARCTIO
284,2023-10-01,0.7397,1.7,,2.4,,,ACUTE MYOCARDIAL INFARCTIO
285,2023-10-01,0.4887,1.2,,1.4,,,ACUTE MYOCARDIAL INFARCTIO
286,2023-10-01,2.1556,5.4,,7.2,,,CIRCULATORY DISORDERS EXCE
287,2023-10-01,1.0816,2.2,,2.7,,,CIRCULATORY DISORDERS EXCE
288,2023-10-01,2.5930,7.7,,9.9,Y,,ACUTE AND SUBACUTE ENDOCAR
289,2023-10-01,1.4777,5.1,,6.2,Y,,ACUTE AND SUBACUTE ENDOCAR
290,2023-10-01,1.0851,3.4,,4.3,Y,,ACUTE AND SUBACUTE ENDOCAR
291,2023-10-01,1.2839,3.9,,5.1,Y,,HEART FAILURE AND SHOCK WI
292,2023-10-01,0.8565,3.0,,3.9,Y,,HEART FAILURE AND SHOCK WI
293,2023-10-01,0.5615,2.1,,2.6,Y,,HEART FAILURE AND SHOCK WI
294,2023-10-01,1.0937,3.5,,4.7,,,DEEP VEIN THROMBOPHLEBITIS
295,2023-10-01,0.7971,2.4,,2.8,,,DEEP VEIN THROMBOPHLEBITIS
296,2023-10-01,1.6032,2.0,,3.3,,,"CARDIAC ARREST, UNEXPLAINE"
297,2023-10-01,0.7286,1.3,,1.6,,,"CARDIAC ARREST, UNEXPLAINE"
298,2023-10-01,0.4397,1.1,,1.1,,,"CARDIAC ARREST, UNEXPLAINE"
299,2023-10-01,1.5762,4.0,,5.6,Y,,PERIPHERAL VASCULAR DISORD
300,2023-10-01,1.0670,3.1,,4.0,Y,,PERIPHERAL VASCULAR DISORD
301,2023-10-01,0.7098,2.1,,2.6,Y,,PERIPHERAL VASCULAR DISORD
302,2023-10-01,1.1211,2.8,,3.9,,,ATHEROSCLEROSIS WITH MCC
303,2023-10-01,0.6581,1.8,,2.2,,,ATHEROSCLEROSIS WITHOUT MC
304,2023-10-01,1.1490,3.0,,4.2,,,HYPERTENSION WITH MCC
305,2023-10-01,0.7535,2.1,,2.7,,,HYPERTENSION WITHOUT MCC
306,2023-10-01,1.5368,3.8,,5.3,,,CARDIAC CONGENITAL AND VAL
307,2023-10-01,0.9426,2.2,,3.0,,,CARDIAC CONGENITAL AND VAL
308,2023-10-01,1.2022,3.5,,4.7,,,CARDIAC ARRHYTHMIA AND CON
309,2023-10-01,0.7447,2.3,,2.9,,,CARDIAC ARRHYTHMIA AND CON
310,2023-10-01,0.5530,1.8,,2.1,,,CARDIAC ARRHYTHMIA AND CON
311,2023-10-01,0.6981,2.0,,2.5,,,ANGINA PECTORIS
312,2023-10-01,0.8635,2.4,,3.1,,,SYNCOPE AND COLLAPSE
313,2023-10-01,0.7236,1.7,,2.2,,,CHEST PAIN
314,2023-10-01,2.0935,5.1,,7.1,Y,,OTHER CIRCULATORY SYSTEM D
315,2023-10-01,0.9673,2.7,,3.5,Y,,OTHER CIRCULATORY SYSTEM D
316,2023-10-01,0.6927,1.8,,2.2,Y,,OTHER CIRCULATORY SYSTEM D
319,2023-10-01,4.3619,7.8,,10.4,,,OTHER ENDOVASCULAR CARDIAC
320,2023-10-01,2.2260,2.2,,3.1,,,OTHER ENDOVASCULAR CARDIAC
321,2023-10-01,2.8747,3.8,,5.2,,,PERCUTANEOUS CARDIOVASCULA
322,2023-10-01,1.8234,2.0,,2.4,,,PERCUTANEOUS CARDIOVASCULA
323,2023-10-01,4.1400,4.6,,6.3,,,CORONARY INTRAVASCULAR LIT
324,2023-10-01,2.9686,2.3,,2.9,,,CORONARY INTRAVASCULAR LIT
325,2023-10-01,2.6443,2.6,,3.4,,,CORONARY INTRAVASCULAR LIT
326,2023-10-01,5.0790,9.4,,13.0,Y,,"STOMACH, ESOPHAGEAL AND DU"
327,2023-10-01,2.4974,4.3,,6.0,Y,,"STOMACH, ESOPHAGEAL AND DU"
328,2023-10-01,1.5973,2.1,,2.7,Y,,"STOMACH, ESOPHAGEAL AND DU"
329,2023-10-01,4.5168,9.8,,12.7,Y,,MAJOR SMALL AND LARGE BOWE
330,2023-10-01,2.3721,5.1,,6.4,Y,,MAJOR SMALL AND LARGE BOWE
331,2023-10-01,1.6720,2.9,,3.4,Y,,MAJOR SMALL AND LARGE BOWE
332,2023-10-01,3.6543,6.7,,9.0,Y,,RECTAL RESECTION WITH MCC
333,2023-10-01,2.0795,3.4,,4.4,Y,,RECTAL RESECTION WITH CC
334,2023-10-01,1.6051,2.3,,2.7,Y,,RECTAL RESECTION WITHOUT C
335,2023-10-01,3.5750,8.9,,11.2,Y,,PERITONEAL ADHESIOLYSIS WI
336,2023-10-01,2.1053,5.5,,6.8,Y,,PERITONEAL ADHESIOLYSIS WI
337,2023-10-01,1.4964,3.4,,4.2,Y,,PERITONEAL ADHESIOLYSIS WI
344,2023-10-01,2.7404,7.1,,9.8,,,MINOR SMALL AND LARGE BOWE
345,2023-10-01,1.5406,4.2,,5.3,,,MINOR SMALL AND LARGE BOWE
346,2023-10-01,1.2878,2.9,,3.4,,,MINOR SMALL AND LARGE BOWE
347,2023-10-01,2.5491,5.6,,7.8,,,ANAL AND STOMAL PROCEDURES
348,2023-10-01,1.3014,3.1,,4.1,,,ANAL AND STOMAL PROCEDURES
349,2023-10-01,0.9758,1.8,,2.2,,,ANAL AND STOMAL PROCEDURES
350,2023-10-01,2.4000,4.8,,6.5,,,INGUINAL AND FEMORAL HERNI
351,2023-10-01,1.4556,3.0,,3.8,,,INGUINAL AND FEMORAL HERNI
352,2023-10-01,1.1090,2.0,,2.4,,,INGUINAL AND FEMORAL HERNI
353,2023-10-01,2.9243,6.0,,8.1,,,HERNIA PROCEDURES EXCEPT I
354,2023-10-01,1.7178,3.5,,4.4,,,HERNIA PROCEDURES EXCEPT I
355,2023-10-01,1.3626,2.3,,2.7,,,HERNIA PROCEDURES EXCEPT I
356,2023-10-01,4.2787,8.0,,11.0,Y,,OTHER DIGESTIVE SYSTEM O.R
357,2023-10-01,2.1968,4.4,,5.7,Y,,OTHER DIGESTIVE SYSTEM O.R
358,2023-10-01,1.2811,2.5,,3.2,Y,,OTHER DIGESTIVE SYSTEM O.R
368,2023-10-01,1.6520,4.2,,5.6,,,MAJOR ESOPHAGEAL DISORDERS
369,2023-10-01,0.9883,3.0,,3.7,,,MAJOR ESOPHAGEAL DISORDERS
370,2023-10-01,0.7437,2.2,,2.6,,,MAJOR ESOPHAGEAL DISORDERS
371,2023-10-01,1.7477,5.4,,7.2,Y,,MAJOR GASTROINTESTINAL DIS
372,2023-10-01,1.0423,3.8,,4.7,Y,,MAJOR GASTROINTESTINAL DIS
373,2023-10-01,0.7165,2.8,,3.4,Y,,MAJOR GASTROINTESTINAL DIS
374,2023-10-01,2.0990,5.6,,7.7,Y,,DIGESTIVE MALIGNANCY WITH
375,2023-10-01,1.1983,3.6,,4.7,Y,,DIGESTIVE MALIGNANCY WITH
376,2023-10-01,0.8914,2.4,,3.0,Y,,DIGESTIVE MALIGNANCY WITHO
377,2023-10-01,1.7903,4.6,,6.0,Y,,GASTROINTESTINAL HEMORRHAG
